0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.100000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00
6.000000000000000000e+00,2.200000000000000000e+01,7.000000000000000000e+00
2.900000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+01
5.100000000000000000e+01,4.900000000000000000e+01,7.600000000000000000e+01
5.600000000000000000e+01,7.600000000000000000e+01,5.800000000000000000e+01
9.100000000000000000e+01,1.720000000000000000e+02,9.400000000000000000e+01
1.430000000000000000e+02,1.340000000000000000e+02,1.470000000000000000e+02
1.870000000000000000e+02,1.980000000000000000e+02,1.590000000000000000e+02
1.600000000000000000e+02,1.600000000000000000e+02,2.080000000000000000e+02
1.710000000000000000e+02,2.080000000000000000e+02,1.870000000000000000e+02
2.620000000000000000e+02,2.860000000000000000e+02,3.030000000000000000e+02
2.580000000000000000e+02,2.220000000000000000e+02,3.630000000000000000e+02
3.750000000000000000e+02,2.580000000000000000e+02,2.980000000000000000e+02
